Name;Vorname;Titel;Genre
Collinson;Peter;The Italian Job;Kinofilm
Cooper;Scott;Crazy Heart;Kinofilm
;;Die Ludolfs;Kinofilm
Bowser;Kenneth;Easy Riders, Raging Bulls;Dokumentarfilm
Coppola;Francis Ford;Apocalypse Now;Kinofilm
Hinterberger;Ernst;Ein echter Wiener geht nicht unter;Fernsehserie
x;x;Ein Herz und eine Seele;Fernsehserie
Coppola;Sophia;Lost in Translation;Kinofilm
Forman;Milos;Einer flog Ùbers Kuckucksnest;Kinofilm
Coppola;Sophia;Marie Antoinette;Kinofilm
Herzog;Werner;Encounters at the End of the World;Dokumentarfilm
Coppola;Francis Ford;The Conversation;Kinofilm
Eastwood;Clint;Erbarmungslos;Kinofilm
Leone;Sergio;Es war einmal in Amerika;Kinofilm
Coppola;Francis Ford;The Godfather Trilogy;Kinofilm
Taylor;Astra ;Examined Life;Dokumentarfilm
Coppola;Francis Ford;The Outsiders;Kinofilm
Coppola;Sophia;Somewhere;Kinofilm
Corbacho;Jose;Tapas;Kinofilm
Corbijn;Anton;Control;Kinofilm
Crialese;Emanuele;Respiro;Kinofilm
Cronenberg;David;A History of Violence;Kinofilm
Cronenberg;David;eXistenZ;Kinofilm
Cronenberg;David;Naked Lunch;Kinofilm
Gilliam;Terry;Fear and Loathing in Las Vegas;Kinofilm
Beesley;Bradley;Fearless Freaks;Dokumentarfilm
Smeaton;Bob;Festival Express;Dokumentarfilm
Fincher;David;Fight Club;Kinofilm
Cronenberg;David;The Fly;Kinofilm
Burns;Ken;Frank Lloyd Wright;Dokumentarfilm
Cronenberg;David;Crash;Kinofilm
x;x;Frasier;Fernsehserie
Cronenberg;David;Spider;Kinofilm
Crowe;Cameron;Singles;Kinofilm
Kubrick;Stanley;Full Metal Jacket;Kinofilm
Daldry;Steven;Billy Elliot - I Will Dance;Kinofilm
Gernstl;Franz Xaver;Gernstls Reisen;Dokumentarfilm
Daldry;Steven;The Hours;Kinofilm
Davies ;Terence;Distant Voices, Still Lives;Kinofilm
Dayton;Jonathan;Little Miss Sunshine;Kinofilm
de Heer;Rolf;Ten Canoes;Kinofilm
de la Iglesia;Alex;La Comunidad;Kinofilm
Hallstr_m ;Lasse;Gilbert Grape;Kinofilm
van Sant ;Gus ;Good Will Hunting;Kinofilm
Scorcese;Martin;GoodFellas;Kinofilm
de la Iglesia;Alex;El Dia de la Bestia;Kinofilm
de la Iglesia;Alex;Muertos de risa;Kinofilm
Hovde;Ellen;Grey Gardens;Dokumentarfilm
de la Iglesia;Alex;El crimen ferpecto;Kinofilm
Herzog;Werner;Grizzly Man;Dokumentarfilm
Ramis;Harold;Groundhog Day;Kinofilm
DeVito;Danny;Jimmy Hoffa;Kinofilm
Donnersmarck;Florian;Das Leben der Anderen;Kinofilm
D_rrie;Doris;Hanami;Kinofilm
Duplass;Jay;Jeff, who lives at home;Kinofilm
Kopple;Barbara;Harlan County;Dokumentarfilm
DÙringer;Roland;Die Viertelliterklasse;Kinofilm
Reiner;Rob;Harry und Sally;Kinofilm
Davis;Peter;Hearts & Minds;Dokumentarfilm
Coppola;Francis Ford;Hearts of Darkness - A filmmakers Apocalypse;Dokumentarfilm
Mann;Michael;Heat;Kinofilm
Cimino;Michael;Heaven's Gate;Kinofilm
x;x;Heinz Becker;Fernsehserie
Frears;Steven;High Fidelity;Kinofilm
Danquart;Pepe;H_llentour;Dokumentarfilm
Yann;Arthus-Bertrand;Home;Dokumentarfilm
James;Steven;Hoop Dreams;Dokumentarfilm
OphÙls;Marcel;Hªtel Terminus: The Life and Times of Klaus Barbie;Dokumentarfilm
Elis;Deb;Howard Zinn: You Can't Be Neutral on a Moving;Dokumentarfilm
Coen;Ethan, Joel;Hudsucker;Kinofilm
Palfi;Gy_rgy;Hukkle;Dokumentarfilm
Eastwood;Clint;Mystic River;Kinofilm
Farhadi;Ashgar;A Separation;Kinofilm
Prey;Doug;Hype;Dokumentarfilm
Nelson;Jessie;I am Sam;Kinofilm
Fassbinder;Rainer Werner;Angst essen Seele auf;Kinofilm
Fassbinder;Rainer Werner;Katzelmacher;Kinofilm
Fellini;Frederico;Amarcord;Kinofilm
Fellini;Frederico;I Vitelloni;Kinofilm
Furtado;Jorge;Ilha das Flores;Dokumentarfilm
Fellini;Frederico;La Dolce Vita;Kinofilm
Fellini;Frederico;La Strada;Kinofilm
Yu;Jessica;In the Realms of the Unreal;Dokumentarfilm
de Antonio;Emile;In the Year of the Pig;Dokumentarfilm
Apted ;Michael;Incident at Oglala;Dokumentarfilm
Fellini;Frederico;8 1/2;Kinofilm
Fesser;Javier;Camino;Kinofilm
Figgis;Mike;Leaving Las Vegas;Kinofilm
Fincher;David;The Social Network;Kinofilm
Fleck;Ryan;Half Nelson;Kinofilm
Bogner;Franz Xaver;Irgendwie und Sowieso;Fernsehserie
Tarantino;Quentin;Jackie Brown;Kinofilm
Ewing;Heidi;Jesus Camp;Dokumentarfilm
Kinski;Klaus ;Jesus Christus Erl_ser;Dokumentarfilm
Fleischer;Richard;Soylent Green;Kinofilm
Temple;Julie;Joe Strummer: The Future Is Unwritten;Dokumentarfilm
Folman;Ari;Waltz with Bashir;Kinofilm
Soderbergh;Steven;Kafka;Kinofilm
Ford;John;The Grapes of Wrath;Kinofilm
MÙller;Hanns Christian;Kehraus;Kinofilm
Clark;Larry;Kids;Kinofilm
Ford;Tom;A Single Man;Kinofilm
Dietl;Helmut;Kir Royal;Fernsehserie
Stanjek;Klaus ;Kommune der Seligen;Dokumentarfilm
Hanson;Curtis;L.A. Confidential;Kinofilm
Haggis;Paul;L.A. Crash;Kinofilm
Forster;Marcel;Stay;Kinofilm
Frears;Steven;Grifters;Kinofilm
del Toro;Guillermo;Laberinto del Fauno;Dokumentarfilm
Frears;Steven;My Beautiful Laundrette;Kinofilm
Friedkin;William;French Connection;Kinofilm
Friedkin;William;To Live and Die in L.A.;Kinofilm
Gallo;Vincent;The Brown Bunny;Kinofilm
Herzog;Werner;Lessons of Darkness;Dokumentarfilm
Wagenhofer;Erwin;Let's Make Money;Dokumentarfilm
Penn;Arthur;Little Big Man;Kinofilm
Herzog;Werner;Little Dieter needs to fly;Dokumentarfilm
Gilliam;Terry;Brazil;Kinofilm
Gilliam;Terry;Twelve Monkeys;Kinofilm
Andersen;Thomas;Los Angeles Plays Itself;Dokumentarfilm
Schmidt;Eckhart;Lost Angeles;Dokumentarfilm
Giordana;Marco Tullio;The Best of Youth;Kinofilm
Glazer;Jonathan ;Sexy Beast;Kinofilm
Purucker;Willi;L_wengrube;Fernsehserie
Lang;Fritz;M;Kinofilm
Godard;Jean-Luc;Au¤er Atem;Kinofilm
Schamoni;Peter;Majest_t brauchen Sonne;Dokumentarfilm
MÙller;Hanns Christian;Man spricht deutshƒ;Kinofilm
Gondry;Michel;Be Kind Rewind;Kinofilm
Melnyk;Debbie;Manufacturing Dissent;Dokumentarfilm
Achbar;Mark;Manufacuring Consent: Noam Chomsky and the Media;Dokumentarfilm
Schlesinger;John;Marathon Man;Kinofilm
Gondry;Michel;Eternal Sunshine of the Spotless Mind;Kinofilm
Smith;Howard;Marjoe;Dokumentarfilm
Gondry;Michel;Science of Sleep;Kinofilm
Griffith;D.W.;Birth of a Nation;Kinofilm
Thomas;David C.;MC5*: A True Testimonial;Dokumentarfilm
Guercio;James William;Electric Glide in Blue;Kinofilm
Hallstr_m ;Lasse;My Life as a Dog;Kinofilm
Haneke;Michael;Das weisse Band;Kinofilm
Haneke;Michael;Cach_;Kinofilm
Schlesinger;John;Midnight Cowboy;Kinofilm
Haneke;Michael;Funny Games;Kinofilm
;;Millionenbauer;Fernsehserie
Reiner;Rob;Misery;Kinofilm
Parker;Allen;Mississippi Burning;Kinofilm
Dietl;Helmut;Monaco Franze;Fernsehserie
Reichle;Franz;Monte Grande: What is Life?;Dokumentarfilm
Harather;Paul;Indien;Kinofilm
Morris;Errol;Mr. Death: The Rise and Fall of Fred A. Leuchter Jr. (1999);Dokumentarfilm
Hardy ;Robin;The Wicker Man;Kinofilm
Dietl;Helmut;MÙnchner Geschichten;Fernsehserie
Jean-Xavier ;de Lestrade;Murder on a Sunday Morning;Dokumentarfilm
Harron;Mary;American Psycho;Kinofilm
Karsh;Jonathan;My Flesh and Blood;Dokumentarfilm
Hau¤mann;Leander;Herr Lehmann;Kinofilm
Haynes ;Todd;I'm not there;Kinofilm
Scorcese;Martin;My Voyage to Italy;Dokumentarfilm
Heckerling;Amy;Fast Times at Ridgemont High;Kinofilm
Hellman;Monte;Two-Lane Blacktop;Kinofilm
Herzog;Werner;Mein liebster Feind;Dokumentarfilm
Herzog;Werner;Bad Lieutenant;Kinofilm
Anno;Hideaki;Neon Genesis Evangelion;Anime
Hill;George;Butch Cassidy and the Sundance Kid;Kinofilm
Resnais;Alain;Night and Fog;Dokumentarfilm
Hill;George;The Sting;Kinofilm
Kerslake;Kevin;Nirvana Live! Tonight! Sold Out!!;Dokumentarfilm
Hitchcock;Alfred;frenzy;Kinofilm
Hitchcock;Alfred;North by Northwest;Kinofilm
Neale ;Mark;No maps for these territories;Dokumentarfilm
Pascoe;Will;Noam Chomsky - Rebel without a pause;Dokumentarfilm
Hitchcock;Alfred;Psycho;Kinofilm
Hitchcock;Alfred;Rear Window;Kinofilm
Hodges;Mike;Get Carter;Kinofilm
Geyrhalter;Nikolaus;Our daily bread;Dokumentarfilm
Faigle;Konstantin;Out of Edeka;Dokumentarfilm
Hofst_tter;Maria;Hundstage;Kinofilm
de Antonio;Emile;Painter's Painting;Dokumentarfilm
Hopper;Dennis;Easy Rider;Kinofilm
Horn;Hans;Wolpodzilla - Der Schrecken vomæTegernsee;Kinofilm
Sinofsky;Bruce;Paradise Lost;Dokumentarfilm
Epstein;Rob;paragraph 175;Dokumentarfilm
Hytner;;The Madness of King George;Kinofilm
Kubrick;Stanley;Paths of Glory;Kinofilm
James;Kevin;Dogma;Kinofilm
Jarmusch;Jim;Coffee & Cigarettes;Kinofilm
Hedges;Peter;pieces of april;Kinofilm
Jarmusch;Jim;Dead Man;Kinofilm
Jarmusch;Jim;Down by Law;Kinofilm
Stone;Oliver;Platoon;Kinofilm
Junkermann ;John;Power and Terror. Noam Chomsky. Gespr_che nach 9/11;Dokumentarfilm
McTiernan;John;Predator;Kinofilm
Jarmusch;Jim;Stranger than Paradise;Kinofilm
Jarmusch ;Jim ;Broken Flowers;Kinofilm
Tarantino;Quentin;Pulp Fiction;Kinofilm
Letts;Don;Punk Attitude;Dokumentarfilm
Roddam;France;Quadrophenia;Kinofilm
Jewison;Norman;In the Heat of the Night;Kinofilm
Scorcese;Martin;Raging Bulls;Kinofilm
Jodorowsky;Alejandro;El Topo;Kinofilm
Joffe;Roland;The Killing Fields;Kinofilm
Kurosawa;Akira;Ran;Kinofilm
Johnson;Rian;Brick;Kinofilm
Jonze;Spike;Adaption;Kinofilm
Jonze;Spike;Where The Wild Things Are;Kinofilm
Jordan;Neil;The Crying Game;Kinofilm
Chomsky;Noam;Rebel Without a Pause;Dokumentarfilm
Judge;Mike;Idiocracy;Kinofilm
Tarantino;Quentin;Reservoir Dogs;Kinofilm
Lovell;Lexy;Riding the Rails;Dokumentarfilm
July;Miranda;Me and You and Everyone We Know;Kinofilm
Moore;Michael;Roger & Me;Dokumentarfilm
Kaplan;Jonathan;Unlawful Entry;Kinofilm
Kar-Wei;Wong;Chungking Express;Kinofilm
Kaufman;Charlie;Synecdoche, New York;Kinofilm
Maysles;Albert;Salesman;Dokumentarfilm
DePalma;Brian;Scarface;Kinofilm
Kazan;Elia;A Streetcar named desire;Kinofilm
Spielberg;Steven;Schindlers Liste;Kinofilm
Kazan;Elia;East of Eden;Kinofilm
Kazan;Elia;On the Waterfront;Kinofilm
Seinfeld;Jerry;Seinfeld;Fernsehserie
Kazan;Elias;Viva Zapata!;Kinofilm
Kelly;Richard;Donnie Darko;Kinofilm
Kelly;Richard;Southland Tales;Kinofilm
McElwee;Ross;Sherman's March;Dokumentarfilm
Kiarostami;Abbas;Close-Up;Kinofilm
Lanzmann;Claude;Shoah;Dokumentarfilm
Altman;Robert;Short Cuts ;Kinofilm
Moore;Michael;Sicko;Dokumentarfilm
Kitano;Takeshi;Hana-Bi;Kinofilm
Fincher;David;Sieben;Kinofilm
Annaud;Jean-Jacques;Sieben Jahre in Tibet;Kinofilm
Klimov;Elem;Come And See;Kinofilm
Pollack;Sydney;Sketches of Frank Gehry;Dokumentarfilm
Schweizer ;Daniel;skinhead attitude;Dokumentarfilm
Kramer;Stanley;Guess Who's Coming to Dinner;Kinofilm
Levinson;Barry;Sleepers;Kinofilm
Kronthaler;Thomas;Scheinheiligen;Kinofilm
Kubrick;Stanley;A Clockwork Orange;Kinofilm
Kubrick;Stanley;Barry Lyndon;Kinofilm
x;x;Sopranos;Fernsehserie
Kubrick;Stanley;Dr. Strangelove;Kinofilm
Kubrick;Stanley;Eyes Wide Shut;Kinofilm
Kubrick;Stanley;Lolita;Kinofilm
Leone;Sergio;Spiel mir das Lied vom Tod;Kinofilm
Kubrick;Stanley;Shining;Kinofilm
Kubrick;Stanley;Spartacus;Kinofilm
Reiner;Rob;Stand by Me;Kinofilm
Harlan;Jan;Stanley Kubrick A life in Picture;Dokumentarfilm
Lucas;George;Star Wars Trilogie;Kinofilm
Kubrick;Stanley;The Killing;Kinofilm
Verhoeven;Paul;Starship Troopers;Kinofilm
Kurosawa;Akira;Dersu Uzala;Kinofilm
James;Steve;Stevie;Dokumentarfilm
Demme;Jonathan;Stop making sense;Dokumentarfilm
Bigelow;Kathryn;Strange Days;Kinofilm
Kurosawa;Akira;Kagemusha;Kinofilm
Marshall;Curry;Street Fight;Dokumentarfilm
Bell;Martin;Streetwise;Dokumentarfilm
;;Stromberg;Serie
Kurosawa;Akira;rashomon;Kinofilm
Pray;Doug;Surfwise;Dokumentarfilm
Kurosawa;Akira;yojimbo;Kinofilm
Kusturica;Emir;Underground;Kinofilm
Caouette;Jonathan;Tarnation;Dokumentarfilm
Landis;John;National Lampoon's Animal House;Kinofilm
Lang;Fritz;Metropolis;Kinofilm
Laszlo;Benedek;The Wild One;Kinofilm
Lee;Ang;Brokeback Mountain;Kinofilm
Lee;Spike;Do the Right Thing;Kinofilm
Demme;Jonathan;The Agronomist;Dokumentarfilm
Lee;Spike;Jungle Fever;Kinofilm
Kalvert;Scott;The Basketball Diaries;Kinofilm
Boyle;Danny;The Beach;Kinofilm
Lee;Spike;Malcolm X;Kinofilm
Lee;Ang;Eat Drink Man Woman;Kinofilm
Lee;Chang-Dong;Poetry;Kinofilm
Leigh;Mike;Happy Go Lucky;Kinofilm
Leigh;Mike;Secrets & Lies;Kinofilm
Achbar;Mark;The Corporation;Dokumentarfilm
Leigh;Mike;Vera Drake;Kinofilm
Spheeris;Penelope;The Decline of Western Civilization;Dokumentarfilm
Leone;Sergio;A Fistful of Dollars;Kinofilm
Levine;Jonathan;Wackness;Kinofilm
Levinson;christopher;Diner;Kinofilm
Brown;Bruce;The Endless Summer;Dokumentarfilm
Stack;Jonathan;The Farm: Angola, USA;Dokumentarfilm
Temple;Julie;The Filth and the Fury;Dokumentarfilm
Morris;Errol;The Fog of War;Dokumentarfilm
Fincher;David;The Game;Kinofilm
Levinson;Barry;Wag the Dog;Kinofilm
Linklater;Richard;A Scanner Darkly;Kinofilm
Nichols;Mike;The Graduate;Kinofilm
Linklater;Richard;Before Sunrise;Kinofilm
Linklater;Richard;Before Sunset;Kinofilm
Linklater;Richard;Dazed and Confused;Kinofilm
Linklater;Richard;Fast Food Nation;Kinofilm
